close;high;low;open;time;volume
1.10851;1.1086;1.10834;1.10835;1724100000000;586.44
1.10848;1.10861;1.10842;1.1085;1724100600000;545.57
1.10852;1.10854;1.10804;1.10843;1724101200000;153.0
1.10853;1.10858;1.10843;1.10853;1724101800000;97.32
1.10848;1.10856;1.10842;1.10852;1724102400000;49.05
1.10839;1.1085;1.1082;1.10848;1724103000000;398.25
1.10824;1.10839;1.10824;1.10839;1724103600000;99.9
1.10835;1.1084;1.10814;1.10826;1724104200000;268.65
1.10864;1.10868;1.10835;1.10836;1724104800000;257.73
1.10867;1.10875;1.10865;1.10865;1724105400000;145.44
1.10861;1.10867;1.10859;1.10866;1724106000000;718.28
1.10859;1.10861;1.10859;1.1086;1724106600000;82.53
1.10842;1.10859;1.10836;1.10859;1724107200000;385.93
1.10851;1.10852;1.10838;1.10841;1724107800000;339.3
1.10855;1.10866;1.10847;1.10852;1724108400000;1130.79
1.10834;1.10856;1.10833;1.10856;1724109000000;737.19
1.10836;1.10848;1.10833;1.10834;1724109600000;285.99
1.10852;1.10855;1.10835;1.10835;1724110200000;371.13
1.10841;1.10852;1.10836;1.10852;1724110800000;526.6
1.10854;1.10866;1.10839;1.10842;1724111400000;645.49
1.1085;1.10871;1.10843;1.10855;1724112000000;1689.41
1.10824;1.1085;1.1082;1.10849;1724112600000;747.09
1.1081;1.10824;1.10809;1.10824;1724113200000;662.22
1.10815;1.10818;1.10799;1.10811;1724113800000;870.12
1.10833;1.10833;1.10804;1.10815;1724114400000;1246.57
1.10818;1.10841;1.10812;1.10835;1724115000000;887.32
1.10852;1.10871;1.10814;1.10819;1724115600000;1980.48
1.1086;1.10866;1.10841;1.10851;1724116200000;1705.73
1.10857;1.10867;1.10851;1.10861;1724116800000;834.93
1.10824;1.10857;1.10819;1.10857;1724117400000;1073.9
1.10841;1.10846;1.10824;1.10825;1724118000000;1496.33
1.10853;1.10857;1.10837;1.10841;1724118600000;769.78
1.10844;1.1087;1.10841;1.10853;1724119200000;1146.72
1.10825;1.10846;1.10817;1.10844;1724119800000;1297.46
1.10814;1.1083;1.10809;1.10825;1724120400000;597.53
1.10804;1.10832;1.10803;1.10814;1724121000000;1234.05
1.10774;1.10804;1.10764;1.10803;1724121600000;2395.92
1.10761;1.10784;1.1075;1.10775;1724122200000;1710.97
1.10785;1.10791;1.10762;1.10762;1724122800000;1022.26
1.1078;1.10791;1.10768;1.10783;1724123400000;757.98
1.10771;1.10786;1.10771;1.1078;1724124000000;616.15
1.10753;1.10771;1.10753;1.10771;1724124600000;1430.41
1.10759;1.10764;1.10753;1.10754;1724125200000;1203.52
1.10755;1.10766;1.10751;1.10759;1724125800000;689.8
1.10771;1.10777;1.10755;1.10756;1724126400000;364.83
1.1076;1.10781;1.10754;1.10771;1724127000000;529.83
1.10768;1.10769;1.10748;1.10759;1724127600000;619.5
1.10774;1.10778;1.10768;1.10769;1724128200000;702.28
1.1078;1.10791;1.10758;1.10775;1724128800000;874.37
1.10769;1.10781;1.10768;1.10779;1724129400000;1234.53
1.10766;1.10776;1.10759;1.10768;1724130000000;1426.58
1.10757;1.10769;1.10751;1.10765;1724130600000;1292.0
1.10751;1.10765;1.1074;1.10758;1724131200000;836.32
1.10765;1.10767;1.10749;1.10751;1724131800000;1151.2
1.10735;1.10765;1.10729;1.10765;1724132400000;1739.2
1.10765;1.10766;1.10734;1.10734;1724133000000;1947.74
1.10762;1.10779;1.10743;1.10766;1724133600000;3399.75
